Grouping,Item_Name,Description,Data_Type,Is_Derived_Item,NCDR_Derivation_Methodology,Link,Link Type,Author,Created_Date,Last_Update_By,Last_Update_Date,Present_In_Tables,Table 1,Table 2,Table 3,Table 4,Table 5,Table 6,Table 7,Table 8,Table 9,Table 10,Table 11,Table 12,Table 13,Table 14,Table 15,Table 16,Table 17,Table 18,Table 19,Table 20,Table 21,Table 22,Table 23,Table 24,Table 25,Table 26,Table 27,Table 28,Table 29,Table 30,Table 31,Table 32,Table 33,Table 34,Table 35,Table 36,Table 37,Table 38,Table 39,Table 40,Table 41,Table 42,Table 43,Table 44,Table 45,Table 46,Table 47,Table 48,Table 49,Table 50,Table 51,Table 52,Table 53,Table 54,Table 55,Table 56,Table 57,Table 58,Table 59,Table 60,Table 61,Table 62,Table 63,Table 64,Table 65,Table 66,Table 67,Table 68,Table 69,Table 70,Table 71,Table 72,Table 73,Table 74,Table 75,Table 76,Table 77,Table 78,Table 79,Table 80,Table 81,Table 82,Table 83,Table 84,Table 85,Table 86,Table 87,Table 88,Table 89,Table 90,Table 91,Table 92,Table 93,Table 94,Table 95,Table 96,Table 97,Table 98,Table 99,Table 100
Values,Spell_Consultant_Code,A code uniquely identifying a consultant.,varchar(8),Yes - NCDR,"Code of the consultant responsible for the care of the patient for the spell. Where there is more than one episode in the spell with different consultants responsible for at least two of these, then the consultant responsible for the Spell_Reporting_APC_Ident is used.",,,Amy Hutton ,11/13/17,,,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCS_1314_Der;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCS_1415_Der;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCS_1516_Der;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCS_1617_Der;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCS_1718_Der;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCS_1314_Der,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCS_1415_Der,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCS_1516_Der,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCS_1617_Der,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCS_1718_Der,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values,Spell_Exc_CC_Days,The number of critical care days associated with episodes excluded from the PbR spell.,int,Yes - NCDR,"The sum total of the number of Critical Care days (Adult (Der_PbR_ACC_Days), Paediatric (Der_PbR_PCC_Days) and Neonatal (Der_PbR_NCC_Days)) with a FCE_Group_Status of 'Exc' (where the individual Critical Care fields are not complete, Der_SEM_CCP_Days is used instead).",,,Amy Hutton ,11/13/17,,,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCS_1314_Der;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCS_1415_Der;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCS_1516_Der;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCS_1617_Der;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCS_1718_Der;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCS_1314_Der,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCS_1415_Der,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCS_1516_Der,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCS_1617_Der,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCS_1718_Der,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values,NCBPST_Spell_NPoC,The dominant national programme of care service code for the spell.,varchar(4),Yes - NCDR,"Displays the NPoC for the spell where available. If there is no NPoC for the spell, then the NPoC from an episode within the spell is used, if there is no NPoC for any episodes within the spell either (according to the PSS tool), it is left null.",,,Amy Hutton ,11/13/17,,,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCS_1314_Der;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCS_1415_Der;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCS_1516_Der;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCS_1617_Der;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCS_1718_Der;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCS_1314_Der,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCS_1415_Der,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCS_1516_Der,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCS_1617_Der,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCS_1718_Der,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values,NCBPST_Spell_ServiceLine,The dominant service line for the spell.,varchar(8),Yes - NCDR,"Displays the spell service line for the spell, where available. If there is no spell service line for the spell, then the spell service line from an episode within the spell is used, if there is no episode level service line available according to the PSS tool then left null.",,,Amy Hutton ,11/13/17,,,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCS_1314_Der;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCS_1415_Der;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCS_1516_Der;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCS_1617_Der;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCS_1718_Der;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCS_1314_Der,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCS_1415_Der,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCS_1516_Der,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCS_1617_Der,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCS_1718_Der,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values,NCBPST_FCE_Currency,Indicates if the dominant service line for the episode is included with the hierarchy used to generate the spell level flagging (1 for spell currency).,int,Yes - NCDR,"When ServiceLine is complete and SpellServiceLine is complete, set as. When ServiceLine is complete and SpellServiceLine is not complete, set as. In all other cases, left null.",,,Amy Hutton ,11/13/17,,,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCE_1314_Der;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCE_1415_Der;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCE_1516_Der;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCE_1617_Der;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCE_1718_Der;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCE_1314_Der,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCE_1415_Der,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCE_1516_Der,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCE_1617_Der,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCE_1718_Der,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDs,APCE_Raw_ID,"An identifier on the raw data, i.e. assigned by NHS Digital prior to import to the NCDR, used during loading and processing.",bigint,Yes - NCDR,An identifier for each record within the imported data table. Is solely used to ensure loading and processing is done correctly.,,,Amy Hutton ,11/13/17,,,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCE;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCE_1314_Der;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCE_1415_Der;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCE_1516_Der;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCE_1617_Der;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCE_1718_Der;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCE_Proc;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCE_Baby;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCE_CCP;;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCE_Diag;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCE_Ward;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCE,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCE_1314_Der,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCE_1415_Der,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCE_1516_Der,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCE_1617_Der,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCE_1718_Der,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCE_Proc,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCE_Baby,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCE_CCP,,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCE_Diag,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCE_Ward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDs,APCE_Load_ID,An identifier assigned during loading to aid processing.,int,Yes - NCDR,An identifier assigned in sequential order to each load file during processing. Does not represent any information about the patient.,,,Amy Hutton ,11/13/17,,,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCE;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCE_1314_Der;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCE_1415_Der;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCE_1516_Der;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCE_1617_Der;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCE_1718_Der;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCE_Proc;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCE_Baby;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCE_CCP;;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCE_Diag;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCE_Ward;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCE,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCE_1314_Der,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCE_1415_Der,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCE_1516_Der,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCE_1617_Der,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCE_1718_Der,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCE_Proc,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCE_Baby,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCE_CCP,,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCE_Diag,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCE_Ward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values,RC_1617_HRG_Code,The HRG produced by the 2016/17 reference costs HRG grouper.,varchar(6),Yes - NCDR,"The record is run through the 2016/17 reference costs HRG grouper, and the HRG is taken from the output table.
For full details of the HRG grouper, see NHS Digital's documentation:
http://content.digital.nhs.uk/casemix",http://content.digital.nhs.uk/casemix,NHS Digital - Casemix,Nathan Abbotts,11/24/17,,,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_RefCost_AEA;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_RefCost_APCE;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_RefCost_OPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_RefCost_AEA,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_RefCost_APCE,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_RefCost_OPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values,Record_Type,"Indicates the actual record type for 2015/16 (DTR or ETO).
NB: Reciprocal OSV patients are charged at DTR rates for 2015/16 irrespective of the providers tariff option choice (as per Monitor guidance).",varchar(3),Yes - NCDR,"Joins to a reference table on provider code. If OSV patient, then DTR is always applied, else provider choice of ETO or DTR tariff, applied.",,,Amy Hutton ,11/13/17,,,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_AEA_1516_Cost;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_AEA_1516_Der;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCE_1516_Der;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCS_1516_Cost;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCS_1516_Der;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_OPA_1516_Cost;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_OPA_1516_Der;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_AEA_1516_Cost,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_AEA_1516_Der,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCE_1516_Der,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCS_1516_Cost,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_APCS_1516_Der,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_OPA_1516_Cost,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_OPA_1516_Der,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values,NCBFinal_SourceRuleSet,"The rule set which has been used to identify attendances within the NHSE portfolio. Where more than 1 rule is satisfied, all rule sets are displayed.",varchar(250),Yes - NCDR,"Set the same as NCBLocal_RuleApplied when NCBLocal_RuleApplied contains ''Military Personnel' and NCBLocal_RuleApplied does not contain '- RRU', otherwise leave null.",,,Amy Hutton ,11/13/17,,,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_AEA_1314_Der;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_AEA_1415_Der;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_AEA_1516_Der;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_AEA_1617_Der;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_AEA_1718_Der;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_OPA_1314_Der;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_OPA_1415_Der;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_OPA_1516_Der;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_OPA_1617_Der;;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_OPA_1718_Der;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_AEA_1314_Der,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_AEA_1415_Der,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_AEA_1516_Der,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_AEA_1617_Der,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_AEA_1718_Der,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_OPA_1314_Der,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_OPA_1415_Der,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_OPA_1516_Der,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_OPA_1617_Der,,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_OPA_1718_Der,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values,NCBFinal_Flag,Indicates whether the attendance is a directly commissioned service.,varchar(1),Yes - NCDR,"Set the same as NCBLocal_RuleApplied when NCBLocal_RuleApplied contains ''Military Personnel' and NCBLocal_RuleApplied does not contain '- RRU', otherwise leave null.",,,Amy Hutton ,11/13/17,,,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_AEA_1314_Der;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_AEA_1415_Der;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_AEA_1516_Der;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_AEA_1617_Der;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_AEA_1718_Der;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_OPA_1314_Der;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_OPA_1415_Der;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_OPA_1516_Der;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_OPA_1617_Der;;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_OPA_1718_Der;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_AEA_1314_Der,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_AEA_1415_Der,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_AEA_1516_Der,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_AEA_1617_Der,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_AEA_1718_Der,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_OPA_1314_Der,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_OPA_1415_Der,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_OPA_1516_Der,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_OPA_1617_Der,,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_OPA_1718_Der,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values,Quality_Error_Message,Error messages as produced by Local Payment HRG Grouper.,varchar(1000),Yes - NCDR,"Displays any Error_Message that has occurred due to the data breaking validation rules in the HRG grouper.
For full details of the HRG grouper, see NHS Digital's documentation:
http://content.digital.nhs.uk/casemix",http://content.digital.nhs.uk/casemix,NHS Digital - Casemix,Amy Hutton ,11/13/17,,,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_AEA_1314_Der;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_AEA_1415_Der;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_AEA_1516_Der;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_AEA_1617_Der;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_AEA_1718_Der;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_OPA_1314_Der;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_OPA_1415_Der;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_OPA_1516_Der;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_OPA_1617_Der;;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_OPA_1718_Der;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_AEA_1314_Der,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_AEA_1415_Der,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_AEA_1516_Der,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_AEA_1617_Der,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_AEA_1718_Der,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_OPA_1314_Der,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_OPA_1415_Der,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_OPA_1516_Der,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_OPA_1617_Der,,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_OPA_1718_Der,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values,NCBLocal_Flag,"Indicates whether the attendance is identified as military personnel or offender health, using either reference mappings or provider submitted values.",varchar(1),Yes - NCDR,"Set as where Der_Dupe_Flag is: Updated to when NCBLocal_Flag is completed and the first 3 characters of Commissioner_Code are a Commissioning_Hub_Code, LAT_Code (apart from 'Q99'), 'X24' or 'XMB', Updated to when NCBLocal_Flag is completed, NCBLocal_RuleApplied contains '|Provider Submitted' and NCBLocal_ServiceLine is not completed.
Updated to where NCBLocal_Flag is completed and GP_Practice_Type_NCB is 'Military'.
Updated to when NCBLocal_Flag is completed, Der_Record_Type is 'Curr', GP_Practice_Type_NCB is 'Military', the first 3 characters of Commissioner_Code are '13Q' and either NCBLocal_RuleApplied does not contain ''Military Personnel' or NCBLocal_RuleApplied not completed.",,,Amy Hutton ,11/13/17,,,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_AEA_1314_Der;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_AEA_1415_Der;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_AEA_1516_Der;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_AEA_1617_Der;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_AEA_1718_Der;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_OPA_1314_Der;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_OPA_1415_Der;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_OPA_1516_Der;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_OPA_1617_Der;;NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_OPA_1718_Der;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_AEA_1314_Der,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_AEA_1415_Der,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_AEA_1516_Der,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_AEA_1617_Der,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_AEA_1718_Der,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_OPA_1314_Der,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_OPA_1415_Der,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_OPA_1516_Der,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_OPA_1617_Der,,NHSE_SUSPlus_Live.dbo.tbl_Data_SEM_OPA_1718_Der,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
