Database,Schema,Table/View,Table or View,Description,Date_Range,Data Start,Data End,Link,Release schedule,Provisional Schedule,Updated Frequency,Updated Frequency,Updated Frequency,
NHSE_SEM_Live,dbo,tbl_Data_SEM_APCE_1516_Der,Table,Contains various derivations for the 2015/16 logic,Apr 2008 - Apr 2017,Apr-08,Apr-17,,None-Historic,N/A,None-Historic,Yes,,
NHSE_SEM_Live,dbo,tbl_Data_SEM_APCE_1617_Der,Table,Contains various derivations for the 2016/17 logic,Apr 2008 - Apr 2017,Apr-08,Apr-17,,None-Historic,N/A,None-Historic,Yes,,
NHSE_SEM_Live,dbo,tbl_Data_SEM_APCE_1718_Der,Table,Contains various derivations for the 2017/18 logic,Apr 2008 - Apr 2017,Apr-08,Apr-17,,None-Historic,N/A,None-Historic,Yes,,
NHSE_SEM_Live,dbo,tbl_Data_SEM_APCE_Baby,Table,"The APCE data for births, taken from SUS SEM",Apr 2008 - Apr 2017,Apr-08,Apr-17,,None-Historic,N/A,None-Historic,Yes,,
NHSE_SEM_Live,dbo,tbl_Data_SEM_APCE_CCP,Table,"The APCE data for critical care, taken from SUS SEM",Apr 2008 - Apr 2017,Apr-08,Apr-17,,None-Historic,N/A,None-Historic,Yes,,
NHSE_SEM_Live,dbo,tbl_Data_SEM_APCE_Diag,Table,"The APCE diagnosis data, taken from SUS SEM",Apr 2008 - Apr 2017,Apr-08,Apr-17,,None-Historic,N/A,None-Historic,Yes,,
NHSE_SEM_Live,dbo,tbl_Data_SEM_APCE_Proc,Table,"The APCE procedure data, taken from SUS SEM",Apr 2008 - Apr 2017,Apr-08,Apr-17,,None-Historic,N/A,None-Historic,Yes,,
NHSE_SEM_Live,dbo,tbl_Data_SEM_APCE_RefCost_Der,Table,"The reference cost HRG-level output, from the 2014/15 reference cost grouper",Apr 2008 - Apr 2017,Apr-08,Apr-17,,None-Historic,N/A,None-Historic,Yes,,
NHSE_SEM_Live,dbo,tbl_Data_SEM_APCE_RefCost_UB_Der,Table,"The reference cost unbundled HRG-level output, from the 2014/15 reference cost grouper",Apr 2008 - Apr 2017,Apr-08,Apr-17,,None-Historic,N/A,None-Historic,Yes,,
NHSE_SEM_Live,dbo,tbl_Data_SEM_APCE_Ward,Table,"The APCE data for ward stays, taken from SUS SEM",Apr 2008 - Apr 2017,Apr-08,Apr-17,,None-Historic,N/A,None-Historic,Yes,,
NHSE_SEM_Live,dbo,tbl_Data_SEM_APCS,Table,"The APCS data, taken from SUS SEM",Apr 2008 - Apr 2017,Apr-08,Apr-17,http://content.digital.nhs.uk/sus/susguidance,,,None-Historic,N/A,None-Historic,Yes
NHSE_SEM_Live,dbo,tbl_Data_SEM_APCS_1314_Cost,Table,Contains cost/price data for the 2013/14 national tariff rules,Apr 2008 - Mar 2014,Apr-08,Mar-14,,None-Historic,N/A,None-Historic,Yes,,
NHSE_SEM_Live,dbo,tbl_Data_SEM_APCS_1314_Der,Table,Contains various derivations for the 2013/14 logic,Apr 2008 - Mar 2014,Apr-08,Mar-14,,None-Historic,N/A,None-Historic,Yes,,
NHSE_SEM_Live,dbo,tbl_Data_SEM_APCS_1415_Cost,Table,Contains cost/price data for the 2014/15 national tariff rules,Apr 2008 - Mar 2015,Apr-08,Mar-15,,None-Historic,N/A,None-Historic,Yes,,
NHSE_SEM_Live,dbo,tbl_Data_SEM_APCS_1415_Der,Table,Contains various derivations for the 2014/15 logic,Apr 2008 - Mar 2015,Apr-08,Mar-15,,None-Historic,N/A,None-Historic,Yes,,
NHSE_SEM_Live,dbo,tbl_Data_SEM_APCS_1516_Cost,Table,Contains cost/price data for the 2015/16 national tariff rules,Apr 2008 - Apr 2017,Apr-08,Apr-17,,None-Historic,N/A,None-Historic,Yes,,
NHSE_SEM_Live,dbo,tbl_Data_SEM_APCS_1516_Der,Table,Contains various derivations for the 2015/16 logic,Apr 2008 - Apr 2017,Apr-08,Apr-17,,None-Historic,N/A,None-Historic,Yes,,
NHSE_SEM_Live,dbo,tbl_Data_SEM_APCS_1617_Cost,Table,Contains cost/price data for the 2016/17 national tariff rules,Apr 2008 - Apr 2017,Apr-08,Apr-17,,None-Historic,N/A,None-Historic,Yes,,
NHSE_SEM_Live,dbo,tbl_Data_SEM_APCS_1617_Der,Table,Contains various derivations for the 2016/17 logic,Apr 2008 - Apr 2017,Apr-08,Apr-17,,None-Historic,N/A,None-Historic,Yes,,
NHSE_SEM_Live,dbo,tbl_Data_SEM_APCS_1718_Cost,Table,Contains cost/price data for the 2017/18 national tariff rules,Apr 2008 - Apr 2017,Apr-08,Apr-17,,None-Historic,N/A,None-Historic,Yes,,
NHSE_SEM_Live,dbo,tbl_Data_SEM_APCS_1718_Der,Table,Contains various derivations for the 2017/18 logic,Apr 2008 - Apr 2017,Apr-08,Apr-17,,None-Historic,N/A,None-Historic,Yes,,
NHSE_SEM_Live,dbo,tbl_Data_SEM_APCS_CCG,Table,Contains various different CCG lookups,Apr 2008 - Apr 2017,Apr-08,Apr-17,,None-Historic,N/A,None-Historic,Yes,,
NHSE_SEM_Live,dbo,tbl_Data_SEM_OPA,Table,"The OP data, taken from SUS SEM",Apr 2008 - Apr 2017,Apr-08,Apr-17,http://content.digital.nhs.uk/sus/susguidance,,,None-Historic,N/A,None-Historic,Yes
NHSE_SEM_Live,dbo,tbl_Data_SEM_OPA_1314_Cost,Table,Contains cost/price data for the 2013/14 national tariff rules,Apr 2008 - Mar 2014,Apr-08,Mar-14,,None-Historic,N/A,None-Historic,Yes,,
NHSE_SEM_Live,dbo,tbl_Data_SEM_OPA_1314_Der,Table,Contains various derivations for the 2013/14 logic,Apr 2008 - Mar 2014,Apr-08,Mar-14,,None-Historic,N/A,None-Historic,Yes,,
NHSE_SEM_Live,dbo,tbl_Data_SEM_OPA_1415_Cost,Table,Contains cost/price data for the 2014/15 national tariff rules,Apr 2008 - Mar 2015,Apr-08,Mar-15,,None-Historic,N/A,None-Historic,Yes,,
NHSE_SEM_Live,dbo,tbl_Data_SEM_OPA_1415_Der,Table,Contains various derivations for the 2014/15 logic,Apr 2008 - Mar 2015,Apr-08,Mar-15,,None-Historic,N/A,None-Historic,Yes,,
NHSE_SEM_Live,dbo,tbl_Data_SEM_OPA_1516_Cost,Table,Contains cost/price data for the 2015/16 national tariff rules,Apr 2008 - Apr 2017,Apr-08,Apr-17,,None-Historic,N/A,None-Historic,Yes,,
NHSE_SEM_Live,dbo,tbl_Data_SEM_OPA_1516_Der,Table,Contains various derivations for the 2015/16 logic,Apr 2008 - Apr 2017,Apr-08,Apr-17,,None-Historic,N/A,None-Historic,Yes,,
NHSE_SEM_Live,dbo,tbl_Data_SEM_OPA_1617_Cost,Table,Contains cost/price data for the 2016/17 national tariff rules,Apr 2008 - Apr 2017,Apr-08,Apr-17,,None-Historic,N/A,None-Historic,Yes,,
NHSE_SEM_Live,dbo,tbl_Data_SEM_OPA_1617_Der,Table,Contains various derivations for the 2016/17 logic,Apr 2008 - Apr 2017,Apr-08,Apr-17,,None-Historic,N/A,None-Historic,Yes,,
NHSE_SEM_Live,dbo,tbl_Data_SEM_OPA_1718_Cost,Table,Contains cost/price data for the 2017/18 national tariff rules,Apr 2008 - Apr 2017,Apr-08,Apr-17,,None-Historic,N/A,None-Historic,Yes,,
NHSE_SEM_Live,dbo,tbl_Data_SEM_OPA_1718_Der,Table,Contains various derivations for the 2017/18 logic,Apr 2008 - Apr 2017,Apr-08,Apr-17,,None-Historic,N/A,None-Historic,Yes,,
NHSE_SEM_Live,dbo,tbl_Data_SEM_OPA_CCG,Table,Contains various different CCG lookups,Apr 2008 - Apr 2017,Apr-08,Apr-17,,None-Historic,N/A,None-Historic,Yes,,
NHSE_SEM_Live,dbo,tbl_Data_SEM_OPA_Diag,Table,"The OP diagnosis data, taken from SUS SEM",Apr 2008 - Apr 2017,Apr-08,Apr-17,,None-Historic,N/A,None-Historic,Yes,,
NHSE_SEM_Live,dbo,tbl_Data_SEM_OPA_Proc,Table,"The OP procedure data, taken from SUS SEM",Apr 2008 - Apr 2017,Apr-08,Apr-17,,None-Historic,N/A,None-Historic,Yes,,
NHSE_SEM_Live,dbo,tbl_Data_SEM_OPA_RefCost_Der,Table,"The reference cost HRG-level output, from the 2014/15 reference cost grouper",Apr 2008 - Apr 2017,Apr-08,Apr-17,,None-Historic,N/A,None-Historic,Yes,,
NHSE_SEM_Live,dbo,tbl_Data_SEM_OPA_RefCost_UB_Der,Table,"The reference cost unbundled HRG-level output, from the 2014/15 reference cost grouper",Apr 2008 - Apr 2017,Apr-08,Apr-17,,None-Historic,N/A,None-Historic,Yes,,
