Database,Schema,Table/View,Table or View,Description,Date_Range,Data Start,Data End,Link,Link Type,Author,Created_Date,Last_Update_By,Last_Update_Date,Release schedule,Provisional Schedule,Updated Frequency,Only Historic
NHSE_SUSPlus_Aggregate,Mapping,AvPriceAPC,Table,The provider and national average prices for APC.,Apr 2015 - Ongoing,Apr 2015, Ongoing,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Aggregate,Mapping,AvPriceOP,Table,The provider and national average prices for OP.,Apr 2015 - Ongoing,Apr 2015, Ongoing,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Aggregate,Mapping,CommissionerMaterialised,Table,"A ""lookup table"" for details regarding the commissioner name.",N/A,N/A,N/A,,,Nathan Abbotts,12/5/17,,,N/A,N/A,N/A,N/A
NHSE_SUSPlus_Aggregate,Mapping,MorecambeBayActivity_OP_Update,Table,"A table to map the Morecambe Bay/Cumbria activity changes, implemented from Apr 2017, to the responsible purchaser field and the CCG fields in the _CCG table.",N/A,N/A,N/A,,,Nathan Abbotts,12/5/17,,,N/A,N/A,N/A,N/A
NHSE_SUSPlus_Aggregate,Mapping,MorecambeBayActivity_AEA_Update,Table,"A table to map the Morecambe Bay/Cumbria activity changes, implemented from Apr 2017, to the responsible purchaser field and the CCG fields in the _CCG table.",N/A,N/A,N/A,,,Nathan Abbotts,12/5/17,,,N/A,N/A,N/A,N/A
NHSE_SUSPlus_Aggregate,Mapping,MorecambeBayActivity_APCS_Update,Table,"A table to map the Morecambe Bay/Cumbria activity changes, implemented from Apr 2017, to the responsible purchaser field and the CCG fields in the _CCG table.",N/A,N/A,N/A,,,Nathan Abbotts,12/5/17,,,N/A,N/A,N/A,N/A
NHSE_SUSPlus_Aggregate,Mapping,NHSECommissionerGrouping,Table,"A ""lookup table"" for the commissioner grouping type.",N/A,N/A,N/A,,,Nathan Abbotts,12/5/17,,,N/A,N/A,N/A,N/A
NHSE_SUSPlus_Aggregate,Mapping,NHSECommissionerRegion,Table,"A ""lookup table"" for the commissioner region.",N/A,N/A,N/A,,,Nathan Abbotts,12/5/17,,,N/A,N/A,N/A,N/A
NHSE_SUSPlus_Aggregate,Mapping,ProviderMaterialised,Table,"A ""lookup table"" for details regarding the provider name.",N/A,N/A,N/A,,,Nathan Abbotts,12/5/17,,,N/A,N/A,N/A,N/A
NHSE_SUSPlus_Aggregate,Mapping,TreatmentFunctionCode,Table,"A ""lookup table"" for details regarding the treatment function code and if it is general & acute.",N/A,N/A,N/A,,,Nathan Abbotts,12/5/17,,,N/A,N/A,N/A,N/A
NHSE_SUSPlus_Aggregate,Staging,CommissionerMappings,Table,"A ""lookup table"" for manual changes for the data tables, to map from old commissioner codes to new ones.",N/A,N/A,N/A,,,Nathan Abbotts,12/5/17,,,N/A,N/A,N/A,N/A
NHSE_SUSPlus_Aggregate,Staging,CumbriaGPs,Table,"A ""lookup table"" of the Cumbria GP practice codes. Used for the Morecambe Bay/Cumbria mapping tables.",N/A,N/A,N/A,,,Nathan Abbotts,12/5/17,,,N/A,N/A,N/A,N/A
NHSE_SUSPlus_Aggregate,Staging,CumbriaLSOAs,Table,"A ""lookup table"" of the Cumbria LSOA codes. Used for the Morecambe Bay/Cumbria mapping tables.",N/A,N/A,N/A,,,Nathan Abbotts,12/5/17,,,N/A,N/A,N/A,N/A
NHSE_SUSPlus_Aggregate,Staging,MorecambeGPs,Table,"A ""lookup table"" of the Morecambe Bay GP practice codes. Used for the Morecambe Bay/Cumbria mapping tables.",N/A,N/A,N/A,,,Nathan Abbotts,12/5/17,,,N/A,N/A,N/A,N/A
NHSE_SUSPlus_Aggregate,Staging,MorecambeLSOAs,Table,"A ""lookup table"" of the Morecambe Bay LSOA codes. Used for the Morecambe Bay/Cumbria mapping tables.",N/A,N/A,N/A,,,Nathan Abbotts,12/5/17,,,N/A,N/A,N/A,N/A
NHSE_SUSPlus_Aggregate,5YFV,CYP_With_Eating_Disorder_Waiting_Times_Comm,View,One of the 5 year forward view extracts. Data from UKHF for eating disorder 1 week [MH02a] and eating disorder 4 week [MH02b].,Jun 2017 - Ongoing,Jun 2017, Ongoing,,,Nathan Abbotts,12/5/17,,,TBD,TBD,TBD,No
NHSE_SUSPlus_Aggregate,5YFV,CYP_With_Eating_Disorder_Waiting_Times_Region,View,One of the 5 year forward view extracts. Data from UKHF for eating disorder 1 week [MH02a] and eating disorder 4 week [MH02b].,Jun 2017 - Ongoing,Jun 2017, Ongoing,,,Nathan Abbotts,12/5/17,,,TBD,TBD,TBD,No
NHSE_SUSPlus_Aggregate,5YFV,NHS_111_MDS,View,One of the 5 year forward view extracts. Data from UKHF for clinical input (5.22) [UEC09].,Sep 2017 - Ongoing,Sep 2017, Ongoing,,,Nathan Abbotts,12/5/17,,,TBD,TBD,TBD,No
NHSE_SUSPlus_Aggregate,5YFV,NHS_Workforce_Practice_Level_Census_Data,View,"One of the 5 year forward view extracts. Data from UKHF for GP workforce [PC03], physician associates [PC04] and clinical pharmacists [PC06].",Jun 2017 - Ongoing,Jun 2017, Ongoing,,,Nathan Abbotts,12/5/17,,,TBD,TBD,TBD,No
NHSE_SUSPlus_Aggregate,CubeExtract,AE,View,The Cube A&E extract. Sourced from the Data.AE1718 table.,Apr 2015 - Ongoing,Apr 2015, Ongoing,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Aggregate,CubeExtract,APC,View,The Cube APC extract. Sourced from the Data.APC1718 table.,Apr 2015 - Ongoing,Apr 2015, Ongoing,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Aggregate,CubeExtract,APC_Update,View,The Cube APC extract. Recreated to be sourced from the SUSPlus_Live database.,Apr 2015 - Ongoing,Apr 2015, Ongoing,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Aggregate,CubeExtract,OP,View,The Cube OP extract. Sourced from the Data.OP1718 table.,Apr 2015 - Ongoing,Apr 2015, Ongoing,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Aggregate,DoHExtract,AEByCommissioner,View,The DH A&E extract by commissioner. Sourced from the SUSPlus_Live data.,Apr 2015 - Ongoing,Apr 2015, Ongoing,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Aggregate,DoHExtract,AEByProvider,View,The DH A&E extract by provider. Sourced from the SUSPlus_Live data.,Apr 2015 - Ongoing,Apr 2015, Ongoing,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Aggregate,DoHExtract,APCByCommissioner,View,The DH APC extract by commissioner. Sourced from the SUSPlus_Live data.,Apr 2015 - Ongoing,Apr 2015, Ongoing,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Aggregate,DoHExtract,APCByProvider,View,The DH APC extract by provider. Sourced from the SUSPlus_Live data.,Apr 2015 - Ongoing,Apr 2015, Ongoing,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Aggregate,DoHExtract,OPByCommissioner,View,The DH OP extract by commissioner. Sourced from the SUSPlus_Live data.,Apr 2015 - Ongoing,Apr 2015, Ongoing,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Aggregate,DoHExtract,OPByProvider,View,The DH OP extract by provider. Sourced from the SUSPlus_Live data.,Apr 2015 - Ongoing,Apr 2015, Ongoing,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Aggregate,FPDExtract,AEByCommissioner,View,"The FPD A&E extract by commissioner, showing the ""correct"" prices, but the current logic for other variables. Sourced from the SUSPlus_Live data.",Apr 2016 - Ongoing,Apr 2016, Ongoing,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Aggregate,FPDExtract,AEByHRGActualCost,View,"The FPD A&E extract by HRG, showing the ""correct"" prices, but the current logic for other variables. Sourced from the SUSPlus_Live data.",Apr 2016 - Ongoing,Apr 2016, Ongoing,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Aggregate,FPDExtract,AEByProvider,View,"The FPD A&E extract by provider, showing the ""correct"" prices, but the current logic for other variables. Sourced from the SUSPlus_Live data.",Apr 2016 - Ongoing,Apr 2016, Ongoing,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Aggregate,FPDExtract,APCByCommissioner,View,"The FPD APC extract by commissioner, showing the ""correct"" prices, but the current logic for other variables. Sourced from the SUSPlus_Live data.",Apr 2016 - Ongoing,Apr 2016, Ongoing,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Aggregate,FPDExtract,APCByCommissionerv2,View,"The FPD APC extract by commissioner, showing the ""correct"" prices, but the current logic for other variables. Updated to reflect the manual specialised commissioning change. Sourced from the SUSPlus_Live data.",Apr 2016 - Ongoing,Apr 2016, Ongoing,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Aggregate,FPDExtract,APCByHRGActualCost,View,"The FPD APC extract by HRG, showing the ""correct"" prices, but the current logic for other variables. Sourced from the SUSPlus_Live data.",Apr 2016 - Ongoing,Apr 2016, Ongoing,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Aggregate,FPDExtract,APCByHRGActualCostv2,View,"The FPD APC extract by HRG, showing the ""correct"" prices, but the current logic for other variables. Updated to reflect the manual specialised commissioning change. Sourced from the SUSPlus_Live data.",Apr 2016 - Ongoing,Apr 2016, Ongoing,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Aggregate,FPDExtract,APCByProviderv2,View,"The FPD APC extract by provider, showing the ""correct"" prices, but the current logic for other variables. Updated to reflect the manual specialised commissioning change. Sourced from the SUSPlus_Live data.",Apr 2016 - Ongoing,Apr 2016, Ongoing,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Aggregate,FPDExtract,OPByCommissioner,View,"The FPD OP extract by commissioner, showing the ""correct"" prices, but the current logic for other variables. Sourced from the SUSPlus_Live data.",Apr 2016 - Ongoing,Apr 2016, Ongoing,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Aggregate,FPDExtract,OPByHRGActualCost,View,"The FPD OP extract by HRG, showing the ""correct"" prices, but the current logic for other variables. Sourced from the SUSPlus_Live data.",Apr 2016 - Ongoing,Apr 2016, Ongoing,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Aggregate,FPDExtract,OPByProvider,View,"The FPD OP extract by provider, showing the ""correct"" prices, but the current logic for other variables. Sourced from the SUSPlus_Live data.",Apr 2016 - Ongoing,Apr 2016, Ongoing,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Aggregate,Imperial,AE,View,The Imperial A&E extract. Sourced from the SUSPlus_Live data.,Last 6 months,Last 6 months,Last 6 months,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Aggregate,Imperial,APCE,View,The Imperial APC extract. Sourced from the SUSPlus_Live data.,Last 6 months,Last 6 months,Last 6 months,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Aggregate,Imperial,OP,View,The Imperial OP extract. Sourced from the SUSPlus_Live data.,Last 6 months,Last 6 months,Last 6 months,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Aggregate,Mapping,Commissioner,View,A lookup of the commissioner from the reference data.,N/A,N/A,N/A,,,Nathan Abbotts,12/5/17,,,N/A,N/A,N/A,N/A
NHSE_SUSPlus_Aggregate,Mapping,Provider,View,A lookup of the provider from the reference data.,N/A,N/A,N/A,,,Nathan Abbotts,12/5/17,,,N/A,N/A,N/A,N/A
NHSE_SUSPlus_Aggregate,NHSD,BenchmarkingDC,View,The NHSD day case extract. Sourced from SEM_Live data.,Apr 2015 - Ongoing,Apr 2015, Ongoing,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Aggregate,NHSD,BenchmarkingEL,View,The NHSD ordinary elective extract. Sourced from SEM_Live data.,Apr 2015 - Ongoing,Apr 2015, Ongoing,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Aggregate,NHSD,BenchmarkingNE,View,The NHSD non-elective extract. Sourced from SEM_Live data.,Apr 2015 - Ongoing,Apr 2015, Ongoing,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Aggregate,NHSD,BenchmarkingOP,View,The NHSD outpatient extract. Sourced from SEM_Live data.,Apr 2015 - Ongoing,Apr 2015, Ongoing,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Aggregate,NHSI,AE,View,The NHSI A&E extract. Sourced from the Data.AE table.,Apr 2015 - Ongoing,Apr 2015, Ongoing,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Aggregate,NHSI,APC,View,The NHSI APCextract. Sourced from the Data.APC table.,Apr 2015 - Ongoing,Apr 2015, Ongoing,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Aggregate,NHSI,OP,View,The NHSI OP extract. Sourced from the Data.OP table.,Apr 2015 - Ongoing,Apr 2015, Ongoing,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Aggregate,OICExtract,AEByCommissionerActualCost,View,"The OIC A&E actual (""correct"") extract, by commissioner. Sourced from the Data.AE table.",Apr 2015 - Ongoing,Apr 2015, Ongoing,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Aggregate,OICExtract,AEByCommissionerCurrentCost,View,"The OIC A&E current extract, by commissioner. Sourced from the Data.AE1617 table.",Apr 2015 - Ongoing,Apr 2015, Ongoing,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Aggregate,OICExtract,APCByCommissionerActualCost,View,"The OIC APC actual (""correct"") extract, by commissioner. Sourced from the Data.APC table.",Apr 2015 - Ongoing,Apr 2015, Ongoing,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Aggregate,OICExtract,APCByCommissionerCurrentCost,View,"The OIC APC current extract, by commissioner. Sourced from the Data.APC1617 table.",Apr 2015 - Ongoing,Apr 2015, Ongoing,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Aggregate,OICExtract,APCByProviderActualCost,View,"The OIC APC actual (""correct"") extract, by provider. Sourced from the Data.APC table.",Apr 2015 - Ongoing,Apr 2015, Ongoing,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Aggregate,OICExtract,APCByProviderCurrentCost,View,"The OIC APC current extract, by provider. Sourced from the Data.APC1617 table.",Apr 2015 - Ongoing,Apr 2015, Ongoing,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Aggregate,OICExtract,OPByCommissionerActualCost,View,"The OIC OP actual (""correct"") extract, by commissioner. Sourced from the Data.OP table.",Apr 2015 - Ongoing,Apr 2015, Ongoing,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Aggregate,OICExtract,OPByCommissionerCurrentCost,View,"The OIC OP current extract, by commissioner. Sourced from the Data.OP1617 table.",Apr 2015 - Ongoing,Apr 2015, Ongoing,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Aggregate,StandardExtract,AE1516,View,The standard A&E extract for 2015/16. Sourced from the Data.AE1516 table.,Apr 2015 - Mar 2016,Apr 2015, Mar 2016,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,Yes
NHSE_SUSPlus_Aggregate,StandardExtract,AE1617,View,The standard A&E extract for 2016/17. Sourced from the Data.AE1617 table.,Apr 2016 - Mar 2017,Apr 2016, Mar 2017,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,Yes
NHSE_SUSPlus_Aggregate,StandardExtract,AE1718,View,The standard A&E extract for 2017/18. Sourced from the Data.OP1718 table.,Apr 2017 - Ongoing,Apr 2017, Ongoing,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Aggregate,StandardExtract,APC1516,View,The standard APC extract for 2015/16. Sourced from the Data.APC1516 table.,Apr 2015 - Mar 2016,Apr 2015, Mar 2016,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,Yes
NHSE_SUSPlus_Aggregate,StandardExtract,APC1617,View,The standard APC extract for 2016/17. Sourced from the Data.APC1617 table.,Apr 2016 - Mar 2017,Apr 2016, Mar 2017,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,Yes
NHSE_SUSPlus_Aggregate,StandardExtract,APC1718,View,The standard APC extract for 2017/18. Sourced from the Data.OP1718 table.,Apr 2017 - Ongoing,Apr 2017, Ongoing,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Aggregate,StandardExtract,OP1516,View,The standard OP extract for 2015/16. Sourced from the Data.OP1516 table.,Apr 2015 - Mar 2016,Apr 2015, Mar 2016,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,Yes
NHSE_SUSPlus_Aggregate,StandardExtract,OP1617,View,The standard OP extract for 2016/17. Sourced from the Data.OP1617 table.,Apr 2016 - Mar 2017,Apr 2016, Mar 2017,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,Yes
NHSE_SUSPlus_Aggregate,StandardExtract,OP1718,View,The standard OP extract for 2017/18. Sourced from the Data.OP1718 table.,Apr 2017 - Ongoing,Apr 2017, Ongoing,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Aggregate,THF,AE,View,The Health Foundation A&E extract. Sourced from the SUSPlus_Live data.,Last 6 months,Last 6 months,Last 6 months,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Aggregate,THF,APCE,View,The Health Foundation APC (episodes) extract. Sourced from the SUSPlus_Live data.,Last 6 months,Last 6 months,Last 6 months,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Aggregate,THF,APCS,View,The Health Foundation APC (spells) extract. Sourced from the SUSPlus_Live data.,Last 6 months,Last 6 months,Last 6 months,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Aggregate,THF,OP,View,The Health Foundation OP extract. Sourced from the SUSPlus_Live data.,Last 6 months,Last 6 months,Last 6 months,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Live,,,N/A,"The SUS+ data. This includes data for admitted patient care, accident & emergency and outpatients.",N/A,N/A,N/A,http://content.digital.nhs.uk/sus/susguidance,NHS Digital - SUS+,Nathan Abbotts,12/5/17,,,N/A,N/A,N/A,N/A
NHSE_SUSPlus_Live,dbo,,N/A,The default schema for the data in the database.,N/A,N/A,N/A,,,Nathan Abbotts,12/5/17,,,N/A,N/A,N/A,N/A
NHSE_SUSPlus_Live,QA,,N/A,The schema used for quality assurance and testing of the data.,N/A,N/A,N/A,,,Nathan Abbotts,12/5/17,,,N/A,N/A,N/A,N/A
NHSE_SUSPlus_Live,dbo,tbl_Data_PbR_CC,Table,The PbR critical care data.,Apr 2015 - Ongoing,Apr 2015, Ongoing,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Live,dbo,tbl_Data_SEM_AEA,Table,"The A&E data, taken from SUS SEM from 2008/09 until 2014/15 and from SUS+ for 2015/16 onwards.",Apr 2008 - Ongoing,Apr 2008, Ongoing,http://content.digital.nhs.uk/sus/susguidance,NHS Digital - SUS+,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Live,dbo,tbl_Data_SEM_AEA_1314_Cost,Table,Contains cost/price data for the 2013/14 national tariff rules.,Apr 2008 - Mar 2014,Apr 2008, Mar 2014,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Live,dbo,tbl_Data_SEM_AEA_1314_Der,Table,Contains various derivations for the 2013/14 logic.,Apr 2008 - Mar 2014,Apr 2008, Mar 2014,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Live,dbo,tbl_Data_SEM_AEA_1415_Cost,Table,Contains cost/price data for the 2014/15 national tariff rules.,Apr 2008 - Mar 2015,Apr 2008, Mar 2015,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Live,dbo,tbl_Data_SEM_AEA_1415_Der,Table,Contains various derivations for the 2014/15 logic.,Apr 2008 - Mar 2015,Apr 2008, Mar 2015,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Live,dbo,tbl_Data_SEM_AEA_1516_Cost,Table,Contains cost/price data for the 2015/16 national tariff rules.,Apr 2008 - Ongoing,Apr 2008, Ongoing,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Live,dbo,tbl_Data_SEM_AEA_1516_Der,Table,Contains various derivations for the 2015/16 logic.,Apr 2008 - Ongoing,Apr 2008, Ongoing,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Live,dbo,tbl_Data_SEM_AEA_1617_Cost,Table,Contains cost/price data for the 2016/17 national tariff rules.,Apr 2008 - Ongoing,Apr 2008, Ongoing,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Live,dbo,tbl_Data_SEM_AEA_1617_Der,Table,Contains various derivations for the 2016/17 logic.,Apr 2008 - Ongoing,Apr 2008, Ongoing,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Live,dbo,tbl_Data_SEM_AEA_1718_Cost,Table,Contains cost/price data for the 2017/18 national tariff rules.,Apr 2008 - Ongoing,Apr 2008, Ongoing,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Live,dbo,tbl_Data_SEM_AEA_1718_Der,Table,Contains various derivations for the 2017/18 logic.,Apr 2008 - Ongoing,Apr 2008, Ongoing,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Live,dbo,tbl_Data_SEM_AEA_1819_Cost,Table,Contains cost/price data for the 2018/19 national tariff rules.,Apr 2015 - Ongoing,Apr 2015, Ongoing,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Live,dbo,tbl_Data_SEM_AEA_CCG,Table,Contains various different CCG lookups.,Apr 2008 - Ongoing,Apr 2008, Ongoing,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Live,dbo,tbl_Data_SEM_APCE,Table,"The APCE data, taken from SUS SEM from 2008/09 until 2014/15 and from SUS+ for 2015/16 onwards.",Apr 2015 - Ongoing,Apr 2015, Ongoing,http://content.digital.nhs.uk/sus/susguidance,NHS Digital - SUS+,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Live,dbo,tbl_Data_SEM_APCE_1314_Der,Table,Contains various derivations for the 2013/14 logic.,Apr 2008 - Mar 2014,Apr 2008, Mar 2014,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Live,dbo,tbl_Data_SEM_APCE_1415_Der,Table,Contains various derivations for the 2014/15 logic.,Apr 2008 - Mar 2015,Apr 2008, Mar 2015,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Live,dbo,tbl_Data_SEM_APCE_1516_Der,Table,Contains cost/price data for the 2015/16 national tariff rules.,Apr 2015 - Ongoing,Apr 2015, Ongoing,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Live,dbo,tbl_Data_SEM_APCE_1617_Der,Table,Contains cost/price data for the 2016/17 national tariff rules.,Apr 2015 - Ongoing,Apr 2015, Ongoing,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Live,dbo,tbl_Data_SEM_APCE_1718_Der,Table,Contains cost/price data for the 2017/18 national tariff rules.,Apr 2015 - Ongoing,Apr 2015, Ongoing,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Live,dbo,tbl_Data_SEM_APCE_Baby,Table,"The APCE data for births, taken from SUS SEM.",Apr 2015 - Ongoing,Apr 2015, Ongoing,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Live,dbo,tbl_Data_SEM_APCE_CCP,Table,"The APCE data for critical care, taken from SUS SEM.",Apr 2015 - Ongoing,Apr 2015, Ongoing,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Live,dbo,tbl_Data_SEM_APCE_Diag,Table,"The APCE diagnosis data, taken from SUS SEM.",Apr 2015 - Ongoing,Apr 2015, Ongoing,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Live,dbo,tbl_Data_SEM_APCE_Proc,Table,"The APCE procedure data, taken from SUS SEM.",Apr 2015 - Ongoing,Apr 2015, Ongoing,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Live,dbo,tbl_Data_SEM_APCE_Ward,Table,"The APCE data for ward stays, taken from SUS SEM.",Apr 2015 - Ongoing,Apr 2015, Ongoing,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Live,dbo,tbl_Data_SEM_APCS,Table,"The APCS data, taken from SUS SEM from 2008/09 until 2014/15 and from SUS+ for 2015/16 onwards.",Apr 2015 - Ongoing,Apr 2015, Ongoing,http://content.digital.nhs.uk/sus/susguidance,NHS Digital - SUS+,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Live,dbo,tbl_Data_SEM_APCS_1314_Cost,Table,Contains cost/price data for the 2013/14 national tariff rules.,Apr 2008 - Mar 2014,Apr 2008, Mar 2014,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Live,dbo,tbl_Data_SEM_APCS_1314_Der,Table,Contains various derivations for the 2013/14 logic.,Apr 2008 - Mar 2014,Apr 2008, Mar 2014,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
NHSE_SUSPlus_Live,dbo,tbl_Data_SEM_APCS_1415_Cost,Table,Contains cost/price data for the 2014/15 national tariff rules.,Apr 2008 - Mar 2015,Apr 2008, Mar 2015,,,Nathan Abbotts,12/5/17,,,Monthly,Monthly,Monthly,No
