,Definition ID,Database,Table,Data Item,Description,Data type,Is_Derived_Item,Derivation_Methodology ,Data Dictionary Name,Data Dictionary Links,Technical check,Business check
,2378,NHSE_IAPT,Appointment_v15,GENANXSCORE,This is the PERSON SCORE for an APPOINTMENT where the ASSESSMENT TOOL TYPE is 'Generalised Anxiety Disorder Penn State Worry Questionnaire'.,int,No,,GENERALISED ANXIETY DISORDER PENN STATE WORRY SCORE,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/g/generalised_anxiety_disorder_penn_state_worry_score_de.asp?shownav=1,,
,2379,NHSE_IAPT,Appointment_v15,HEALTHANXSCORE,"This is the PERSON SCORE for an APPOINTMENT where the ASSESSMENT TOOL TYPE is ""Health Anxiety Inventory Short Week Scale"".",int,No,,HEALTH ANXIETY INVENTORY SHORT WEEK SCALE SCORE,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/h/he/health_anxiety_inventory_short_week_scale_score_de.asp?shownav=1,,
,2380,NHSE_IAPT,Appointment_v15,OCDSCORE,The person score for an appointment where the assessment tool type is Obsessive Compulsive Disorder Inventory Questionnaire. The score will be between 0 and 168. A cut off score of 40 allows identification of patients with an Obsessive Compulsive Disorder (OCD).,int,No,,OBSESSIVE COMPULSIVE DISORDER INVENTORY SCORE,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/o/obsessive_compulsive_disorder_inventory_score_de.asp?shownav=1,,
,2381,NHSE_IAPT,Appointment_v15,PANICSCORE,"The person score for an appointment where the assessment tool type is ""panic disorder severity scale"". The score will be between 0 and 28, with higher numbers representing a more severe panic disorder. The recommended cut off score for the Panic Disorder Severity Scale is 8, so a PERSON scoring 8 or above will be considered to be at ""caseness"".",int,No,,PANIC DISORDER SEVERITY SCALE SCORE,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/p/panic_disorder_severity_scale_score_de.asp?shownav=1,,
,2382,NHSE_IAPT,Appointment_v15,PTSDSCORE,"This is the PERSON SCORE for an APPOINTMENT where the ASSESSMENT TOOL TYPE is ""Post Traumatic Stress Disorder Impacts of Events Scale"".

The score will be between 0 and 88.

If one or two values are missing from the score, then they can be substituted with the average score of the non-missing items. Questionnaires with more than two missing values should be disregarded.
",int,No,,POST TRAUMATIC STRESS DISORDER IMPACT OF EVENTS SCALE REVISED SCORE,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/f/face_to_face_communication_mode_de.asp?shownav=1?query=%22FACE+TO+FACE+COMMUNICATION+MODE%22&rank=80&shownav=1,,
,2383,NHSE_IAPT,Appointment_v15,SOCPHOBIAINVSCORE,"The person score for an appointment where the assessment tool type is ""social phobia inventory questionnaire"" the score will be between 0 and 68. The higher the score, the more severe the phobia.",int,No,,SOCIAL PHOBIA INVENTORY SCORE,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/s/so/social_phobia_inventory_score_de.asp?shownav=1,,
,2384,NHSE_IAPT,Appointment_v15,SOCPHOBIASCORE,"The person score for an appointment where the assessment tool type is ""social phobia questionnaire"" the score will be between 0 and 8. The higher the score, the more severe the phobia.",int,No,,SOCIAL PHOBIA SCORE,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/s/so/social_phobia_score_de.asp?shownav=1,,
,2385,NHSE_IAPT,Appointment_v15,SPECPHOBIASCORE,"The person score for an appointment where the assessment tool type is ""specific phobia questionnaire"" the score will be between 0 and 8. The higher the score, the more severe the phobia.",int,No,,SPECIFIC PHOBIA SCORE,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/s/so/specific_phobia_score_de.asp?shownav=1,,
,2386,NHSE_IAPT,Appointment_v15,IC_TREATMENT_APPOINTMENT_RANK,"Ranking of treatment appointments in order that they occurred, e.g. the first treatment appointment receives '1', the second receives '2' etc. Assigned on a patient by patient basis.",int,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.",,,,
,2387,NHSE_IAPT,Appointment_v15,IC_LOW_INTENSITY_FLAG,"Flag to classify whether a low intensity therapy was recorded in the appointment.

Irrespective of if there is also a high intensity code in the same appointment

NULL if a version 1 appointment",varchar(1),Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
A 'Y' or NULL flag to indicate whether the appointment has at least one low intensity therapy recorded, where:
It is a version 1.5 appointment
AND the following is true
- THERTYPE1 contains a low intensity therapy or
- THERTYPE2 contains a low intensity therapy
or
- THERTYPE3 contains a low intensity therapy or
- THERTYPE4 contains a low intensity therapy.

Low intensity in this context is defined by the Technical Output Specification for the dataset",,,,
,2388,NHSE_IAPT,Appointment_v15,IC_HIGH_INTENSITY_FLAG,"Flag to classify whether a high intensity therapy was recorded in the appointment.

Irrespective of if there is also a low intensity code in the same appointment

NULL if a version 1 appointment",varchar(1),Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
A 'Y' or NULL flag to indicate whether the appointment has at least one high intensity therapy recorded, where:
It is a version 1.5 appointment
AND the following is true
- THERTYPE1 contains a high intensity therapy or
- THERTYPE2 contains a high intensity therapy or
- THERTYPE3 contains a high intensity therapy or
- THERTYPE4 contains a high intensity therapy.

High intensity in this context is defined by the Technical Output Specification for the dataset",,,,
,2389,NHSE_IAPT,Appointment_v15,CANCELLATION,"An indication of whether the APPOINTMENT SLOT could be reallocated, where the ATTENDED OR DID NOT ATTEND National Code is 'APPOINTMENT cancelled by, or on behalf of, the PATIENT', where the APPOINTMENT was cancelled at short notice.",varchar(1),No,,APPOINTMENT SLOT SHORT NOTICE CANCELLATION INDICATOR,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/a/ap/appointment_slot_short_notice_cancellation_indicator_de.asp?shownav=1,,
,2390,NHSE_IAPT,Appointment_v15,FFCOMM,"Where face to face communication takes place, records the nature of the group or individual involved.",varchar(2),No,,FACE TO FACE COMMUNICATION MODE,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/f/face_to_face_communication_mode_de.asp?shownav=1?query=%22FACE+TO+FACE+COMMUNICATION+MODE%22&rank=80&shownav=1,,
,2391,NHSE_IAPT,Appointment_v15,STEPINTENSITY,"The intensity of care delivered to a PATIENT at an Improving Access to Psychological Therapies Contact during an Improving Access to Psychological Therapies Care Spell.

At each appointment the intensity of care delivered.",varchar(2),No ,,IMPROVING ACCESS TO PSYCHOLOGICAL THERAPIES STEPPED CARE INTENSITY DELIVERED,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/i/imp/improving_access_to_psychological_therapies_stepped_care_intensity_delivered_de.asp?shownav=1?query=%22IMPROVING+ACCESS+TO+PSYCHOLOGICAL+THERAPIES+STEPPED+CARE+INTENSITY+DELIVERED%22&rank=74.99999&shownav=1,,
,2392,NHSE_IAPT,Appointment_v15,v1_WSASSCORE,"The submitted WSASSCORE from version 1 appointments. This was submitted as a total. In v1.5, this was changed to be submitted as 5 separate scores.",int,Yes,Taken from the source field directly,,,,
,2393,NHSE_IAPT,Appointment_v15,Der_Financial_Year,"Financial year of the activity, e.g. 2013/14, 2014/15 etc. ",varchar(7),Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
The Der_Financial_Year column has been added to aid the split of financial year data and derived from the file information for that specific year.",,,,
,2394,NHSE_IAPT,Appointment_v15,PSERVICEID,The unique identifier for a SERVICE REQUEST. ,varchar(128),Yes,A pseudonymised version of SERVICEID (as NHS Digital are not able to release SERVICEID),SERVICE REQUEST IDENTIFIER,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/s/se/service_request_identifier_de.asp?query=Service%20Request%20Identifier&rank=100&shownav=1,,
,2395,NHSE_IAPT,Assessments_v15,ASSESSMENT_ID,A sequential number allocated to uniquely identify a treatment questionnaire record in the reporting period.,bigint,No,,,,,
,2396,NHSE_IAPT,Assessments_v15,REFERRAL_ID,A sequential number allocated to uniquely identify a referral record in the reporting period.,bigint,No,,,,,
,2397,NHSE_IAPT,Assessments_v15,IAPT_RECORD_NUMBER,Record number is a sequential number allocated to uniquely identify a person and provider combination within each month's submission.,varchar(16),No,,,,,
,2398,NHSE_IAPT,Assessments_v15,IAPT_PERSON_ID,A pseudonymised unique patient identifier (NHS number being patient identifiable) to enable linkage across IAPT tables.,varchar(20),No,,,,,
,2399,NHSE_IAPT,Assessments_v15,ORGCODEPROVIDER,This is the ORGANISATION CODE of the ORGANISATION acting as a Health Care Provider. Derived from submitted Header record within submission.,varchar(6),Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
Derived from submitted Header record within submission.",ORGANISATION CODE (CODE OF PROVIDER),http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/o/org/organisation_code_(code_of_provider)_de.asp?shownav=1,,
,2400,NHSE_IAPT,Assessments_v15,IC_SERVICEID,The unique identifier for a SERVICE REQUEST. ,bigint,No,,SERVICE REQUEST IDENTIFIER,http://www.datadictionary.nhs.uk/data_dictionary/attributes/s/ser/service_request_identifier_de.asp?shownav=1,,
,2401,NHSE_IAPT,Assessments_v15,ASSESSPEQDATE,ASSESSMENT TOOL COMPLETION DATE is the DATE the ASSESSMENT TOOL was completed. ,date,No,,ASSESSMENT TOOL COMPLETION DATE,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/a/as/assessment_tool_completion_date_de.asp?shownav=1?,,
,2402,NHSE_IAPT,Assessments_v15,ASSESSPEQTIME,ASSESSMENT TOOL COMPLETION TIME is the TIME the ASSESSMENT TOOL was completed. ,varchar(10),No,,ASSESSMENT TOOL COMPLETION TIME,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/a/as/assessment_tool_completion_time_de.asp?shownav=1?,,
,2403,NHSE_IAPT,Assessments_v15,ASSESSMENT1,"This question relates to whether the PATIENT was given information about options for choosing a treatment that is appropriate to their problems (""Were you given information about options for choosing a treatment that is appropriate for your problems?"").",varchar(1),No,,IMPROVING ACCESS TO PSYCHOLOGICAL THERAPIES ASSESSMENT CHOICE PATIENT EXPERIENCE QUESTION 1,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/i/imp/improving_access_to_psychological_therapies_assessment_choice_patient_experience_question_1_de.asp?shownav=1,,
,2404,NHSE_IAPT,Assessments_v15,ASSESSMENT2,"This question relates to whether the PATIENT preferred any of the treatments among the options available (""Do you prefer any of the treatments among the options available?"").",varchar(1),No,,IMPROVING ACCESS TO PSYCHOLOGICAL THERAPIES ASSESSMENT CHOICE PATIENT EXPERIENCE QUESTION 2,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/i/imp/improving_access_to_psychological_therapies_assessment_choice_patient_experience_question_2_de.asp?shownav=1,,
,2405,NHSE_IAPT,Assessments_v15,ASSESSMENT3,"This question relates to whether the PATIENT was offered their preferred treatment (""Have you been offered your preference?"").",varchar(1),No,,IMPROVING ACCESS TO PSYCHOLOGICAL THERAPIES ASSESSMENT CHOICE PATIENT EXPERIENCE QUESTION 3,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/i/imp/improving_access_to_psychological_therapies_assessment_choice_patient_experience_question_3_de.asp?shownav=1,,
,2406,NHSE_IAPT,Assessments_v15,SATISFACTION,"This question relates to whether the PATIENT was satisfied with their assessment. The score ranges from 0-4, with higher numbers representing higher satisfaction.",int,No,,IMPROVING ACCESS TO PSYCHOLOGICAL THERAPIES ASSESSMENT SATISFACTION PATIENT EXPERIENCE QUESTION 1,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/i/imp/improving_access_to_psychological_therapies_assessment_satisfaction_patient_experience_question_1_de.asp?shownav=1,,
,2407,NHSE_IAPT,Assessments_v15,IC_PATHWAY_ID,"An identifier, which together with the ORGANISATION CODE / ORGANISATION IDENTIFIER of the issuer, uniquely identifies a PATIENT PATHWAY.",bigint,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
Incremental value assigned to new SERVICEID and IAPT_PERSON_ID combinations. If such a combination has been received in a previous reporting period the record is assigned the same IC_PATHWAY_ID value.",,,,
,2408,NHSE_IAPT,Assessments_v15,IC_AFTER_LAST_ASSESS_FLAG,"Flag to indicate whether the assessment tool was completed after the last assessment appointment, as recommended by NHS England.",varchar(1),Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.",,,,
,2409,NHSE_IAPT,Assessments_v15,Der_Financial_Year,"Financial year of the activity, e.g. 2013/14, 2014/15 etc. ",varchar(7),Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
The Der_Financial_Year column has been added to aid the split of financial year data and derived from the file information for that specific year.",,,,
,2410,NHSE_IAPT,Assessments_v15,PSERVICEID,The unique identifier for a SERVICE REQUEST. ,varchar(128),Yes,A pseudonymised version of SERVICEID (as NHS Digital are not able to release SERVICEID),SERVICE REQUEST IDENTIFIER,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/s/se/service_request_identifier_de.asp?query=Service%20Request%20Identifier&rank=100&shownav=1,,
,2411,NHSE_IAPT,Disability_v15,DISABILITY_ID,A number allocated to uniquely identify a disability record in the reporting period.,bigint,No,,,,,
,2412,NHSE_IAPT,Disability_v15,IAPT_RECORD_NUMBER,Record number is a sequential number allocated to uniquely identify a person and provider combination within each month's submission.,varchar(16),No,,,,,
,2413,NHSE_IAPT,Disability_v15,IAPT_PERSON_ID,A pseudonymised unique patient identifier (NHS number being patient identifiable) to enable linkage across IAPT tables.,varchar(20),No,,,,,
,2414,NHSE_IAPT,Disability_v15,ORGCODEPROVIDER,This is the ORGANISATION CODE of the ORGANISATION acting as a Health Care Provider. Derived from submitted Header record within submission.,varchar(6),Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
Derived from submitted Header record within submission.",ORGANISATION CODE (CODE OF PROVIDER),http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/o/org/organisation_code_(code_of_provider)_de.asp?shownav=1,,
,2415,NHSE_IAPT,Disability_v15,DISABILITY,The DISABILITY of a PERSON. This could be where the PERSON has been diagnosed as disabled or the PERSON considers themself to be disabled.,varchar(2),No,,DISABILITY CODE,http://www.datadictionary.nhs.uk/data_dictionary/attributes/d/den/disability_code_de.asp?shownav=1,,
,2416,NHSE_IAPT,Disability_v15,Der_Financial_Year,"Financial year of the activity, e.g. 2013/14, 2014/15 etc. ",varchar(7),Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
The Der_Financial_Year column has been added to aid the split of financial year data and derived from the file information for that specific year.",,,,
,2417,NHSE_IAPT,Header_v15,HEADER_ID,Unique identifier for each file submitted.,bigint,No,,,,,
,2418,NHSE_IAPT,Header_v15,FILE_TYPE,An indication of whether the submitted file is a 'Primary' or 'Refresh' submission.,varchar(7),Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
The returned value will be 'Primary' or 'Refresh' depending on the file type selected on submission.",,,,
,2419,NHSE_IAPT,Header_v15,END_PROCESSING_DATE,Final process completion date and time. Used internally.,datetime,No,,,,,
,2420,NHSE_IAPT,Header_v15,COMPLETION_TIME,Completion time of final data processing ,datetime,No,,,,,
,2421,NHSE_IAPT,Header_v15,START_DATE,REPORTING PERIOD START DATE is the start date of the REPORTING PERIOD and is used in conjunction with REPORTING PERIOD END DATE to specify the actual period the reported information relates to.,datetime,No,,REPORTING PERIOD START DATE,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/r/rep/reporting_period_start_date_de.asp?shownav=1,,
,2422,NHSE_IAPT,Header_v15,END_DATE,REPORTING PERIOD END DATE is the end date of the REPORTING PERIOD and is used in conjunction with REPORTING PERIOD START DATE to specify the actual period the reported information relates to.,datetime,No,,REPORTING PERIOD END DATE,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/r/rep/reporting_period_end_date_de.asp?shownav=1,,
,2423,NHSE_IAPT,Header_v15,TOTAL_RECORDS,Count of total number of patient records for the provider in the reporting period.,int,No,,,,,
,2424,NHSE_IAPT,Header_v15,BSP_UNIQUE_ID,A Unique ID applied when original data file was uploaded to the Bureau Service Portal (BSP).,varchar(7),Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
Derived from lookup table that assigns an increasing incremental value to each of a providers submissions",,,,
,2425,NHSE_IAPT,Header_v15,ORGCODEPROVIDER,This is the ORGANISATION CODE of the ORGANISATION acting as a Health Care Provider. Derived from submitted Header record within submission.,varchar(6),Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
Derived from submitted Header record within submission.",ORGANISATION CODE (CODE OF PROVIDER),http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/o/org/organisation_code_(code_of_provider)_de.asp?shownav=1,,
,2426,NHSE_IAPT,Header_v15,MONTH_ID,"A unique number representing the monthly reporting period in which the referral was submitted, e g 1369 for April 2014 ",int,No,,,,,
,2427,NHSE_IAPT,Header_v15,QUARTER_ID,Quarter ID associated with the monthly reporting period .,int,No,,,,,
,2428,NHSE_IAPT,Header_v15,Der_Financial_Year,"Financial year of the activity, e.g. 2013/14, 2014/15 etc. ",varchar(7),Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
The Der_Financial_Year column has been added to aid the split of financial year data and derived from the file information for that specific year.",,,,
,2429,NHSE_IAPT,Person_v15,HEADER_ID,This code can be used to link to the data in the IAPT_Header table,bigint,No,,,,,
,2430,NHSE_IAPT,Person_v15,IAPT_RECORD_NUMBER,Record number is a sequential number allocated to uniquely identify a person and provider combination within each month's submission.,varchar(16),No,,,,,
,2431,NHSE_IAPT,Person_v15,IAPT_PERSON_ID,A pseudonymised unique patient identifier (NHS number being patient identifiable) to enable linkage across IAPT tables.,varchar(20),No,,,,,
,2432,NHSE_IAPT,Person_v15,NHSNOSTATUS,NHS NUMBER STATUS INDICATOR CODE is the trace status of the NHS NUMBER.,varchar(2),No,,NHS NUMBER STATUS INDICATOR CODE,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/n/nhs/nhs_number_status_indicator_code_de.asp?shownav=1,,
,2433,NHSE_IAPT,Person_v15,ORGCODEPROVIDER,This is the ORGANISATION CODE of the ORGANISATION acting as a Health Care Provider. Derived from submitted Header record within submission.,varchar(6),Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
Derived from submitted Header record within submission.",ORGANISATION CODE (CODE OF PROVIDER),http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/o/org/organisation_code_(code_of_provider)_de.asp?shownav=1,,
,2434,NHSE_IAPT,Person_v15,GENDER,PERSON STATED GENDER CODE is self declared or inferred by observation for those unable to declare their PERSON STATED GENDER.,varchar(1),No,,PERSON STATED GENDER CODE,http://www.datadictionary.nhs.uk/data_dictionary/attributes/p/person/person_stated_gender_code_de.asp?shownav=1,,
,2435,NHSE_IAPT,Person_v15,GMPC,GENERAL MEDICAL PRACTICE CODE (PATIENT REGISTRATION) is the ORGANISATION CODE of the GP Practice that the PATIENT is registered with.,varchar(6),No,,GENERAL MEDICAL PRACTICE CODE (PATIENT REGISTRATION),http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/g/general_medical_practice_code_(patient_registration)_de.asp?shownav=1,,
,2436,NHSE_IAPT,Person_v15,ETHNICITY,"The ethnicity of a PERSON, as specified by the PERSON.",varchar(2),No,,ETHNIC CATEGORY,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/e/ep/ethnic_category_de.asp?shownav=1,,
,2437,NHSE_IAPT,Person_v15,RELIGION,"The RELIGIOUS OR OTHER BELIEF SYSTEM AFFILIATION of a PERSON, as specified by a PERSON.",varchar(4),No,,RELIGIOUS OR OTHER BELIEF SYSTEM AFFILIATION CODE,http://www.datadictionary.nhs.uk/data_dictionary/attributes/r/red/religious_or_other_belief_system_affiliation_code_de.asp?shownav=1,,
,2438,NHSE_IAPT,Person_v15,SEXUALORIENTATION,The current Sexual Orientation of a person.,varchar(1),No,,SEXUAL ORIENTATION (CURRENT),http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/s/set/sexual_orientation_(current)_de.asp?shownav=1,,
,2439,NHSE_IAPT,Person_v15,BAFINDICATOR,"An indication of whether the person was in the British Armed Forces, (e.g. Army, Navy or Air Force, or is a dependent of a person who is an ex-services member).",varchar(2),No,,EX-BRITISH ARMED FORCES INDICATOR,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/e/ex/ex-british_armed_forces_indicator_de.asp?shownav=1,,
,2440,NHSE_IAPT,Person_v15,LTCONDITION,"An indication of whether the Patient has a Long Term Physical Health Condition, as stated by the Patient.",varchar(1),No,,LONG TERM PHYSICAL HEALTH CONDITION INDICATOR FOR IMPROVING ACCESS TO PSYCHOLOGICAL THERAPIES,http://www.datadictionary.nhs.uk/data_dictionary/attributes/l/lo/long_term_physical_health_condition_indicator_for_improving_access_to_psychological_therapies_de.asp?shownav=1,,
,2441,NHSE_IAPT,Person_v15,AGE_START_REPORTING_PERIOD,Age of the patient at the REPORTING PERIOD START DATE.,int,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
Derived by calculating REPORTING PERIOD START DATE minus PERSON BIRTH DATE.",,,,
,2442,NHSE_IAPT,Person_v15,AGE_END_REPORTING_PERIOD,Age of the patient at the REPORTING PERIOD END DATE.,int,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
Derived by calculating REPORTING PERIOD END DATE minus PERSON BIRTH DATE.",,,,
,2443,NHSE_IAPT,Person_v15,CCG_OF_RESIDENCE,"ORGANISATION CODE (RESIDENCE RESPONSIBILITY) is the ORGANISATION CODE according to the PATIENT's POSTCODE OF USUAL ADDRESS, where they reside within the boundary of a Clinical Commissioning Group (CCG).",varchar(8),No,,ORGANISATION CODE (RESIDENCE RESPONSIBILITY),http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/o/org/organisation_code_(residence_responsibility)_de.asp?shownav=1,,
,2444,NHSE_IAPT,Person_v15,CCG_OF_GP_PRACTICE,"ORGANISATION CODE (GP PRACTICE RESPONSIBILITY) is the ORGANISATION CODE of the Organisation responsible for the GP Practice where the PATIENT is registered, irrespective of whether they reside within the boundary of the Clinical Commissioning Group.",varchar(8),No,,ORGANISATION CODE (GP PRACTICE RESPONSIBILITY),http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/o/org/organisation_code_(gp_practice_responsibility)_de.asp?shownav=1,,
,2445,NHSE_IAPT,Person_v15,ELECTORAL_WARD_OF_USUAL_ADDRESS,Electoral Ward of the usual address of the patient,varchar(9),Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
The Electoral Ward/Division for the patient, derived from the submitted POSTCODE OF USUAL ADDRESS. Where a NULL postcode is submitted Electoral Ward/Division will appear as NULL.",,,,
,2446,NHSE_IAPT,Person_v15,LSOA,Lower layer super output area of the patient's place of residence.,varchar(9),Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
The Lower Layer Super Output Area (Residence) for the patient, derived from the submitted POSTCODE OF USUAL ADDRESS. Where a Null postcode is submitted, Lower Layer Super Output Area (Residence) will appear as Null.",LOWER LAYER SUPER OUTPUT AREA,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/l/li/lower_layer_super_output_area_(residence)_de.asp?shownav=1,,
,2447,NHSE_IAPT,Person_v15,LAD_UA,Local Authority District Unitary Authority of the usual address of the patient.,varchar(9),No,,UNITARY AUTHORITY,http://www.datadictionary.nhs.uk/data_dictionary/nhs_business_definitions/u/unitary_authority_de.asp?shownav=1,,
,2448,NHSE_IAPT,Person_v15,COUNTY,County of the usual address of the patient.,varchar(9),Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
The County for the patient, derived from the submitted POSTCODE OF USUAL ADDRESS. Where a NULL postcode is submitted, County will appear as NULL.",,,,
,2449,NHSE_IAPT,Person_v15,POSTCODE_DISTRICT,"Postcode district, derived from the submitted postcode comprised of all characters to the left of the space in a full 8 character postcode.",varchar(9),Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
Postcode District, derived from the submitted POSTCODE OF USUAL ADDRESS where the postcode has passed on submission validations. Where a null postcode is submitted Postcode District will appear as null. The postcode district is comprised of all characters to the left of the space in a full eight character postcode.
Note: the postcode district is comprised of all characters to the left of the space in a full eight character postcode.",,,,
,2450,NHSE_IAPT,Person_v15,IC_ETHNICITY,"The Ethnicity of a PERSON, as specified by the PERSON. Cleansed by NHS Digital.",varchar(2),Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
IC_ETHNICITY = case when left-most character of P.ETHNICITY in ""A"",""B"",""C"",""D"",""E"",""F"",""G"",""H"",""J"",""K"",""L"",""M"",""N"",""P"",""R"",""S"",""Z"" then left-most character of P.ETHNICITY
when left-most character of P.ETHNICITY = ""9"" then ""99""
when P.ETHNICITY is blank or is null then ""-1""
else ""-3""",ETHNIC CATEGORY,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/e/ep/ethnic_category_de.asp?shownav=1,,
,2451,NHSE_IAPT,Person_v15,IC_NAT_PERSON_FLAG,???,varchar(1),Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.",,,,
,2452,NHSE_IAPT,Person_v15,IC_DISABILITY_FLAG,Indicates if the person has a disability recorded.,varchar(1),Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
",,,,
,2453,NHSE_IAPT,Person_v15,PseudoNumber,Pseudonymised NHS number of patient.,bigint,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
Derived by pseudonymising NHS number by applying a  pseudonymisation algorithm",,,,
,2454,NHSE_IAPT,Person_v15,Der_Financial_Year,"Financial year of the activity, e.g. 2013/14, 2014/15 etc. ",varchar(7),Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
The Der_Financial_Year column has been added to aid the split of financial year data and derived from the file information for that specific year.",,,,
,2455,NHSE_IAPT,Treatments_v15,TREATMENT_ID,A sequential number allocated to uniquely identify a treatment questionnaire record in the reporting period.,bigint,No,,,,,
,2456,NHSE_IAPT,Treatments_v15,REFERRAL_ID,A sequential number allocated to uniquely identify a referral record in the reporting period.,bigint,No,,,,,
,2457,NHSE_IAPT,Treatments_v15,IAPT_RECORD_NUMBER,Record number is a sequential number allocated to uniquely identify a person and provider combination within each month's submission.,varchar(16),No,,,,,
,2458,NHSE_IAPT,Treatments_v15,IAPT_PERSON_ID,A pseudonymised unique patient identifier (NHS number being patient identifiable) to enable linkage across IAPT tables.,varchar(20),No,,,,,
,2459,NHSE_IAPT,Treatments_v15,ORGCODEPROVIDER,This is the ORGANISATION CODE of the ORGANISATION acting as a Health Care Provider. Derived from submitted Header record within submission.,varchar(6),Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
Derived from submitted Header record within submission.",ORGANISATION CODE (CODE OF PROVIDER),http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/o/org/organisation_code_(code_of_provider)_de.asp?shownav=1,,
,2460,NHSE_IAPT,Treatments_v15,IC_SERVICEID,The unique identifier for a SERVICE REQUEST. ,bigint,No,,SERVICE REQUEST IDENTIFIER,http://www.datadictionary.nhs.uk/data_dictionary/attributes/s/ser/service_request_identifier_de.asp?shownav=1,,
,2461,NHSE_IAPT,Treatments_v15,TREATPEQDATE,ASSESSMENT TOOL COMPLETION DATE is the DATE the ASSESSMENT TOOL was completed. ,date,No,,ASSESSMENT TOOL COMPLETION DATE,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/a/as/assessment_tool_completion_date_de.asp?shownav=1,,
,2462,NHSE_IAPT,Treatments_v15,TREATPEQTIME,ASSESSMENT TOOL COMPLETION TIME is the TIME the ASSESSMENT TOOL was completed. ,varchar(10),No,,ASSESSMENT TOOL COMPLETION TIME,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/a/as/assessment_tool_completion_time_de.asp?shownav=1?,,
